Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
226,UNC Asheville,Big South,,21,11,82.2,76.6,5.63,,-4.47,,1.35,-6.47,-5.11,106.78,113.83,-7.05
227,Campbell,CAA,,15,17,70.2,67.8,2.41,,-4.74,,-6.08,0.9,-5.18,100.84,108.27,-7.43
228,UT Arlington,WAC,,13,18,74.3,74.8,-0.58,,-2.51,,0.17,-5.4,-5.24,105.62,112.81,-7.19
229,Fresno State,MWC,,6,26,70.7,80.7,-10,,4.76,,1.11,-6.36,-5.25,101.09,107.66,-6.56
230,Kansas City,Summit,,13,20,72.3,67.2,5.09,,-2.71,,-8.61,3.28,-5.33,99.5,106.93,-7.44
231,Cal State Bakersfield,Big West,,14,19,73.8,73.6,0.12,,-1.74,,-2.39,-3.03,-5.42,104.98,112.68,-7.7
232,South Dakota,Summit,,19,14,85.2,83.7,1.48,,-3.24,,9.01,-14.45,-5.44,107.6,115.23,-7.63
233,Abilene Christian,WAC,,16,16,70.6,70.3,0.31,,-2.02,,-5.14,-0.33,-5.47,96.75,104.68,-7.93
234,Quinnipiac,MAAC,,20,13,73.9,71.5,2.45,,-7.42,,-0.64,-5.01,-5.64,100.3,108.24,-7.94
235,Tulsa,AAC,,13,20,71.3,73.6,-2.36,,-1.66,,-4.18,-1.51,-5.69,100.68,108.75,-8.07
236,SIU Edwardsville,OVC,,22,11,72.6,66.1,6.48,,-8.48,,-6.55,0.71,-5.85,99.03,106.98,-7.95
237,Delaware,CAA,,16,20,77.2,77.9,-0.64,,-3.9,,3.42,-9.29,-5.87,107.2,115.98,-8.78
238,UC Davis,Big West,,15,17,68,70.3,-2.31,,-1.01,,-7.9,1.99,-5.91,96.01,104.68,-8.67
239,Toledo,MAC,,18,15,78.9,80.2,-1.27,,-2.7,,3.07,-9.02,-5.95,109.48,118.16,-8.68
240,William & Mary,CAA,,17,15,77.7,76.4,1.31,,-3.99,,2.91,-8.9,-5.99,106.17,114.07,-7.89
241,Evansville,MVC,,11,21,66,70.7,-4.69,,0.33,,-7.66,1.63,-6.03,96.55,105.16,-8.61
242,Northern Arizona,Big Sky,,18,15,75.8,71.2,4.64,,-5.45,,-3.42,-2.61,-6.04,102.48,111.36,-8.88
243,Texas-Rio Grande Valley,Southland,,16,15,76.7,74,2.71,,-3.48,,0.73,-6.87,-6.14,103,111.23,-8.23
244,Maine,AEC,,20,14,70.9,66.1,4.74,,-8.09,,-7.7,1.42,-6.28,98.13,106.83,-8.7
245,Florida International,CUSA,,10,23,69.2,72.1,-2.88,,-1.36,,-5.57,-0.86,-6.42,94.95,104.28,-9.33
246,Incarnate Word,Southland,,17,16,72.9,68.9,4.03,,-5.44,,-4.85,-1.62,-6.47,103.92,113.22,-9.3
247,Presbyterian,Big South,,14,18,74.3,70.7,3.63,,-4.35,,-5.75,-0.74,-6.49,102.7,112.01,-9.31
248,Little Rock,OVC,,19,14,69.3,67.2,2.06,,-7.52,,-7.81,1.09,-6.72,97.16,106.08,-8.92
249,Southern,SWAC,,20,12,74.8,68.3,6.5,,-7.8,,-5.96,-0.77,-6.73,96.31,105.38,-9.07
250,Pacific,WCC,,9,24,69.5,75.8,-6.21,,2.36,,-4.46,-2.37,-6.84,100.83,110.69,-9.86
251,American,Patriot,,22,12,68.6,67.3,1.38,,-6.54,,-7.84,0.83,-7.01,101.04,111.14,-10.1
252,North Dakota,Summit,,12,21,77.3,79.5,-2.24,,-1.18,,1.06,-8.15,-7.08,106.08,115.96,-9.88
253,Portland,WCC,,12,20,72.9,80.4,-7.5,,2.37,,0.19,-7.28,-7.09,103.66,113.48,-9.83
254,Siena,MAAC,,14,18,72.2,72.1,0.13,,-7.25,,-3.66,-3.47,-7.13,100.92,111.47,-10.56
255,Manhattan,MAAC,,17,13,76,74.5,1.5,,-8.22,,0.39,-7.64,-7.25,105.23,115.62,-10.4
256,Massachusetts-Lowell,AEC,,17,15,79.5,74.1,5.38,,-7.3,,1.05,-8.38,-7.33,106.23,116.46,-10.23
257,Georgia State,Sun Belt,,14,19,75.1,78.3,-3.15,,-2.87,,0.19,-7.56,-7.37,104.24,114.5,-10.25
258,Georgia Southern,Sun Belt,,17,16,74.2,75.9,-1.7,,-5.33,,-1.14,-6.25,-7.39,99.63,110.1,-10.47
259,Colgate,Patriot,,14,19,72.1,72.4,-0.27,,-6.16,,-3.31,-4.16,-7.47,102.31,113.6,-11.29
260,Harvard,Ivy,,12,15,68.4,72,-3.59,,-3.61,,-6.63,-0.94,-7.57,99.06,110.31,-11.25
261,Idaho,Big Sky,,14,19,73.6,75.5,-1.91,,-3.08,,-1.68,-5.91,-7.6,105.48,116.76,-11.28
262,Air Force,MWC,,4,28,61.9,73.7,-11.72,,3.96,,-8.45,0.69,-7.75,99.03,111.05,-12.02
263,Ball State,MAC,,14,17,75.4,74.2,1.16,,-6.3,,-3.68,-4.08,-7.76,102.53,113.67,-11.13
264,Mount St. Mary's,MAAC,,22,12,70.4,69.8,0.56,,-7.28,,-5.57,-2.23,-7.79,97.5,108.74,-11.23
265,Vermont,AEC,,21,12,66.6,63.8,2.82,,-7.34,,-12.46,4.67,-7.79,96.52,107.51,-10.99
266,Tennessee State,OVC,,17,16,78.1,73.3,4.82,,-8.57,,0.08,-7.95,-7.87,100.68,111.46,-10.78
267,Monmouth,CAA,,13,20,70.3,75.4,-5.03,,-2.85,,-3.05,-4.83,-7.88,101.79,112.81,-11.02
268,Gardner-Webb,Big South,,11,20,73.8,78.1,-4.35,,-3.63,,-2.31,-5.67,-7.98,100.83,112.12,-11.29
269,North Florida,A-Sun,,15,17,82.8,84.8,-1.91,,-3.26,,6.26,-14.25,-7.99,107.03,117.86,-10.83
270,San Diego,WCC,,6,27,70.1,79.7,-9.55,,1.94,,-1.72,-6.34,-8.06,99.3,110.2,-10.9
271,Stephen F. Austin,Southland,,14,17,66.6,68.3,-1.71,,-3.43,,-8.33,0.19,-8.14,93.36,104.88,-11.52
272,Houston Christian,Southland,,12,20,66,69.4,-3.41,,-2.99,,-8.46,0.27,-8.19,98.6,110.94,-12.34
273,Iona,MAAC,,17,17,69.7,70.5,-0.79,,-7.51,,-6.1,-2.21,-8.3,96.11,107.8,-11.69
274,Mercer,Southern,,14,19,76.1,75.3,0.79,,-5.03,,-1.8,-6.56,-8.36,97.84,109.18,-11.34
275,Eastern Washington,Big Sky,,10,22,71.3,75.5,-4.13,,-1.7,,-4.58,-3.85,-8.43,100.56,113.09,-12.53
276,Marist,MAAC,,20,10,66,64.5,1.5,,-10.19,,-10.65,1.96,-8.69,95.06,107.84,-12.79
277,Sacred Heart,MAAC,,15,18,75.8,75.2,0.64,,-8.14,,-0.24,-8.5,-8.73,101.42,113.95,-12.52
278,Columbia,Ivy,,12,15,78.4,78.1,0.3,,-5.46,,1.56,-10.5,-8.94,104.01,116.48,-12.47
279,Eastern Michigan,MAC,,16,16,73.6,76.5,-2.94,,-5.3,,-2.94,-6.2,-9.13,102.03,114.98,-12.95
280,Austin Peay,A-Sun,,14,19,71.6,74.9,-3.33,,-3.44,,-5.96,-3.19,-9.15,99.46,112.21,-12.76
281,Jackson State,SWAC,,16,18,71.4,74.6,-3.15,,-6,,-4.54,-4.61,-9.15,98.02,110.12,-12.09
282,Alabama State,SWAC,,19,15,73.4,72.2,1.21,,-8.93,,-4.58,-4.65,-9.23,98.95,111.68,-12.73
283,Weber State,Big Sky,,12,22,71.9,71.9,0,,-2.81,,-6.34,-2.96,-9.3,99.77,113.55,-13.78
284,Bowling Green State,MAC,,14,18,73.5,73.9,-0.44,,-5.95,,-4.69,-4.69,-9.38,97.41,110.35,-12.94
285,Western Michigan,MAC,,12,20,72.1,76,-3.97,,-4.04,,-4.38,-5.05,-9.43,99.93,113.24,-13.31
286,Albany (NY),AEC,,17,16,74.6,73.8,0.79,,-8.26,,-3.06,-6.39,-9.45,101.06,114.41,-13.35
287,Old Dominion,Sun Belt,,15,20,67.9,71.5,-3.6,,-4.1,,-7,-2.56,-9.56,97.98,111.3,-13.32
288,Navy,Patriot,,15,19,70.8,70.4,0.41,,-8.48,,-5.51,-4.09,-9.61,99.57,113.46,-13.89
289,Long Beach State,Big West,,7,25,67.3,74.2,-6.94,,-0.05,,-7.59,-2.22,-9.82,99.34,114.03,-14.69
290,Southern Mississippi,Sun Belt,,11,22,71.3,76,-4.7,,-3.28,,-3.74,-6.12,-9.86,95.65,109.18,-13.53
291,Utah Tech,WAC,,7,26,69.8,76,-6.15,,-1.25,,-4.44,-5.45,-9.89,99.86,113.55,-13.68
292,Lafayette,Patriot,,13,20,68.5,68.9,-0.39,,-8.06,,-8.26,-1.64,-9.9,96.14,110.25,-14.1
293,Tarleton State,WAC,,12,20,63.3,69.6,-6.31,,0.04,,-12.76,2.8,-9.96,92.01,106.37,-14.36
294,Bethune-Cookman,SWAC,,17,16,68.6,72.2,-3.52,,-6.5,,-6.63,-3.38,-10.01,95.42,109.65,-14.23
295,Lehigh,Patriot,,11,19,70.3,71.4,-1.1,,-6.46,,-6.02,-4.02,-10.03,97.82,112.97,-15.14
296,Texas Southern,SWAC,,15,17,72.7,72.1,0.56,,-8.01,,-6.15,-3.9,-10.04,93.63,107.23,-13.6
297,Denver,Summit,,11,21,72.4,77.6,-5.22,,-2.67,,-6.17,-3.88,-10.05,97.45,111.79,-14.34
298,Pennsylvania,Ivy,,8,19,69.6,77.4,-7.81,,-2.45,,-3.98,-6.28,-10.26,100.2,115.16,-14.96
299,Southern Utah,WAC,,12,19,69.8,73.7,-3.94,,-1.77,,-6.18,-4.09,-10.27,95.79,109.81,-14.02
300,Saint Peter's,MAAC,,12,16,66,65.8,0.21,,-8.18,,-12.79,2.42,-10.36,92.48,107.76,-15.28
301,Louisiana,Sun Belt,,12,21,65.4,73,-7.61,,-2.28,,-7.93,-2.72,-10.65,96.54,111.97,-15.43
302,Long Island University,NEC,,17,16,67.7,65.3,2.39,,-9.7,,-11.34,0.64,-10.7,92.54,107.19,-14.65
303,Boston University,Patriot,,16,16,67.1,68.5,-1.34,,-8.15,,-10.65,-0.12,-10.77,95.84,111.72,-15.89
304,Charleston Southern,Big South,,10,22,72.1,78.2,-6.13,,-2.15,,-5.61,-5.21,-10.82,96.92,111.84,-14.92
305,Tennessee Tech,OVC,,15,17,72.1,74.1,-1.97,,-7.6,,-4.95,-5.91,-10.86,98.15,113.64,-15.48
306,Tennessee-Martin,OVC,,14,19,74.4,71.9,2.48,,-7.99,,-5.35,-5.64,-10.99,98.71,114.64,-15.92
307,VMI,Southern,,15,19,73.3,73.1,0.15,,-4.76,,-5.75,-5.37,-11.12,97.95,113.8,-15.84
308,Maryland-Baltimore County,AEC,,13,19,80,78.8,1.16,,-7.9,,1.77,-13.01,-11.24,103.41,119.42,-16.01
309,Oral Roberts,Summit,,7,23,73.3,78.5,-5.2,,-0.49,,-3.37,-8.04,-11.42,101.4,117.96,-16.56
310,IU Indy,Horizon,,10,22,75.1,76.8,-1.75,,-4.23,,-2.84,-8.67,-11.51,107.09,123.96,-16.87
311,Loyola (MD),Patriot,,12,19,69.2,71.1,-1.94,,-8.22,,-7.35,-4.24,-11.58,97.64,114.5,-16.86
312,FDU,NEC,,13,20,73.7,73.2,0.48,,-7.84,,-4.44,-7.3,-11.74,96.43,113.02,-16.59
313,Howard,MEAC,,12,20,77.5,79.3,-1.81,,-6.63,,-0.94,-10.83,-11.77,101.73,118.3,-16.57
314,Rider,MAAC,,14,19,67,71.8,-4.82,,-7,,-8.39,-3.43,-11.82,98.99,116.78,-17.79
315,Delaware State,MEAC,,16,14,78.7,74.3,4.37,,-8.8,,-2.39,-9.61,-12,97.97,114.96,-16.99
316,Coastal Carolina,Sun Belt,,10,22,66.8,71.1,-4.34,,-5.84,,-9.67,-2.36,-12.04,99.01,116.98,-17.98
317,Holy Cross,Patriot,,13,19,69.6,72.1,-2.5,,-7.1,,-6.43,-5.84,-12.27,99.55,117.69,-18.14
318,Grambling,SWAC,,12,22,66.8,67.7,-0.88,,-7.45,,-12.77,0.45,-12.32,93.83,111.2,-17.37
319,East Texas A&M,Southland,,5,26,64.4,74.9,-10.52,,-1.88,,-8.62,-3.77,-12.39,93.99,111.71,-17.72
320,Eastern Illinois,OVC,,12,19,66.5,69,-2.52,,-5.72,,-11.63,-0.8,-12.43,91.21,108.98,-17.77
321,Army,Patriot,,16,15,73.2,75.1,-1.9,,-7.26,,-4.32,-8.15,-12.47,97.8,115.83,-18.03
322,Niagara,MAAC,,11,20,68.5,71.4,-2.97,,-8.3,,-7.65,-4.88,-12.53,98.66,117.21,-18.56
323,Saint Francis (PA),NEC,,16,17,71.1,71.6,-0.48,,-7.07,,-5.74,-6.79,-12.53,97.16,115.17,-18.01
324,North Carolina Central,MEAC,,14,19,78.8,75.8,3,,-7.82,,-3.99,-8.69,-12.68,100.48,118.61,-18.13
325,Stonehill,NEC,,15,17,68.7,70.1,-1.38,,-9.3,,-9.11,-3.76,-12.87,98.1,116.84,-18.75
326,North Carolina A&T,CAA,,7,25,69.2,76.2,-7.06,,-4.03,,-5.72,-7.28,-13,95.37,113.88,-18.51
327,Lindenwood,OVC,,16,17,71.2,71.3,-0.18,,-7.11,,-7.36,-5.65,-13.01,91.29,109.91,-18.62
328,Florida A&M,SWAC,,14,17,72.1,75.3,-3.19,,-5.79,,-6.09,-7.05,-13.14,98.54,116.9,-18.36
329,Binghamton,AEC,,15,17,69.8,71.5,-1.69,,-8.85,,-8.59,-4.64,-13.23,95.56,114.85,-19.29
330,Green Bay,Horizon,,4,28,69.9,80.3,-10.41,,-2.55,,-3.7,-9.53,-13.23,98.93,117.9,-18.97
331,Detroit Mercy,Horizon,,8,24,67.1,75.9,-8.81,,-3.08,,-8.6,-4.83,-13.43,92.76,112.33,-19.57
332,Morehead State,OVC,,15,17,66.1,68.7,-2.59,,-7.37,,-11.73,-1.78,-13.51,95,114.1,-19.1
333,Stony Brook,CAA,,8,24,66.5,74.1,-7.63,,-4.15,,-8.26,-5.31,-13.57,99.16,119.18,-20.01
334,Southern Indiana,OVC,,10,20,71.5,73.5,-2,,-8.21,,-7.21,-6.46,-13.67,96.09,115.93,-19.84
335,Sacramento State,Big Sky,,7,25,66.2,70.5,-4.31,,-3.67,,-11.26,-2.44,-13.7,93.43,113.95,-20.52
336,Alcorn State,SWAC,,11,21,65,72.1,-7.06,,-6.69,,-10.87,-2.91,-13.79,95.23,114.7,-19.47
337,Fairfield,MAAC,,12,20,67.5,72.6,-5.09,,-7.4,,-8.75,-5.48,-14.23,95.81,116.64,-20.83
338,Central Arkansas,A-Sun,,9,24,70.2,78.1,-7.88,,-3.79,,-7.13,-7.54,-14.66,95.17,116.12,-20.95
339,Bellarmine,A-Sun,,5,26,72.6,80.1,-7.48,,-4.37,,-4.4,-10.35,-14.75,102.6,124.1,-21.51
340,Morgan State,MEAC,,14,18,80,80.8,-0.78,,-8.32,,-1.18,-13.71,-14.89,98.3,119.02,-20.72
341,Buffalo,MAC,,9,22,71.8,80.9,-9.1,,-3.7,,-5.59,-9.36,-14.94,94.37,114.99,-20.62
342,Louisiana-Monroe,Sun Belt,,7,25,68.9,75.5,-6.63,,-4.22,,-7.95,-7.06,-15.02,94.33,115.9,-21.57
343,Western Illinois,OVC,,12,19,68.7,71.3,-2.61,,-8.35,,-9.58,-5.49,-15.07,97.06,119.19,-22.14
344,West Georgia,A-Sun,,6,25,69,78.3,-9.23,,-4.01,,-7.99,-7.09,-15.08,95.19,116.52,-21.34
345,New Orleans,Southland,,4,27,67.9,82.5,-14.55,,-0.61,,-4.24,-10.92,-15.16,96.42,117.67,-21.25
346,Mercyhurst,NEC,,15,16,67.9,69.9,-2,,-9.39,,-9.92,-5.44,-15.36,96.43,119.47,-23.04
347,Cal State Fullerton,Big West,,6,26,63.3,77.3,-14.09,,0.87,,-9.82,-5.65,-15.46,91.97,113.79,-21.82
348,South Carolina Upstate,Big South,,6,26,74.8,83.5,-8.75,,-2.49,,-2.04,-13.42,-15.46,96.51,117.13,-20.62
349,Wagner,NEC,,14,16,62.5,60.6,1.87,,-10,,-18.85,3.39,-15.47,88.75,112.09,-23.33
350,Western Carolina,Southern,,8,22,69.7,79,-9.37,,-2.24,,-7.03,-8.7,-15.73,91.63,112.93,-21.3
351,Stetson,A-Sun,,8,24,71.7,81.5,-9.84,,-4.2,,-6.32,-9.88,-16.2,96.74,119.59,-22.85
352,Northern Illinois,MAC,,6,25,70.9,76.9,-5.94,,-4.38,,-8.41,-8.04,-16.46,91.05,113.81,-22.77
353,Le Moyne,NEC,,9,23,74.1,80.2,-6.09,,-8.07,,-3.1,-14.44,-17.54,98.62,124.09,-25.47
354,NJIT,AEC,,6,25,65.3,73.2,-7.94,,-7.57,,-12.28,-5.36,-17.64,90.23,116.08,-25.85
355,The Citadel,Southern,,5,25,66.6,75,-8.47,,-4.41,,-12.56,-5.74,-18.3,92.43,119.35,-26.92
356,Canisius,MAAC,,3,28,64.8,78.6,-13.84,,-5.16,,-8.76,-10.24,-19,96.61,124.78,-28.17
357,Prairie View,SWAC,,5,27,71.4,82.4,-10.97,,-7.12,,-5.8,-13.33,-19.12,94.85,121.26,-26.4
358,New Hampshire,AEC,,8,24,66.4,76.6,-10.19,,-7.18,,-11.45,-8.06,-19.51,89.81,117.43,-27.62
359,Alabama A&M,SWAC,,10,22,73,78.8,-5.75,,-9.77,,-7.96,-12.4,-20.36,89.06,117.78,-28.72
360,Maryland-Eastern Shore,MEAC,,6,25,67.4,77.7,-10.32,,-4.3,,-12.47,-8.01,-20.48,91.54,120.54,-29
361,Chicago State,NEC,,4,28,62.5,78.7,-16.16,,-4.64,,-11.89,-8.9,-20.79,87.72,116.96,-29.24
362,Coppin State,MEAC,,6,24,62.2,76.4,-14.17,,-5.44,,-14.55,-6.44,-20.99,84.78,114.85,-30.07
363,Arkansas-Pine Bluff,SWAC,,6,25,72.3,83.9,-11.61,,-8.22,,-6.39,-17.73,-24.12,92.39,124.7,-32.31
364,Mississippi Valley State,SWAC,,3,28,54.1,80.8,-26.71,,-4.48,,-22.52,-11.79,-34.3,77.64,128.24,-50.6
