Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
54,Pittsburgh,ACC,,17,15,75.9,70.8,5.03,,8.56,,6.95,6.65,13.59,117.28,98.36,18.92
55,Villanova,Big East,,19,14,73.4,67.5,5.88,,7.45,,4.91,8.42,13.33,120.82,101.09,19.72
56,Santa Clara,WCC,,20,12,81.3,72.8,8.44,,4.71,,10.12,3.03,13.15,117.71,99.14,18.58
57,UC San Diego,Big West,,30,4,79.8,61.6,18.15,,-2.07,,3.96,9.07,13.02,114.52,95.34,19.19
58,Nebraska,Big Ten,,17,14,75.4,72.9,2.52,,10.46,,6.59,6.38,12.97,114.21,96.02,18.19
59,Iowa,Big Ten,,17,16,82.5,79.7,2.79,,10.1,,13.49,-0.61,12.88,122.09,104.68,17.41
60,Memphis,AAC,,29,5,80.1,73.2,6.91,,5.69,,9.4,3.2,12.61,114.45,96.73,17.72
61,Southern California,Big Ten,,16,17,76.9,75.5,1.39,,11.05,,9.16,3.29,12.45,118.07,100.75,17.32
62,Utah,Big 12,,16,16,75.3,72.2,3.09,,8.84,,7.19,4.75,11.94,114.25,97.67,16.58
63,Kansas State,Big 12,,16,17,70.8,69.6,1.21,,10.08,,3.43,7.86,11.29,112.42,96.59,15.83
64,Arizona State,Big 12,,13,19,73.9,76.5,-2.53,,13.72,,7.09,4.1,11.19,113.51,97.42,16.09
65,San Francisco,WCC,,24,9,75.9,68.9,7.03,,4.21,,4.37,6.59,10.96,112.12,96.43,15.68
66,TCU,Big 12,,16,16,67.6,68.7,-1.16,,12.05,,0.73,10.16,10.89,109.33,93.66,15.66
67,UCF,Big 12,,17,16,79.3,80.1,-0.82,,11.51,,12.83,-2.14,10.69,116.25,100.09,16.17
68,Colorado,Big 12,,14,20,69.9,71.5,-1.56,,12.07,,3.53,6.99,10.52,110.84,95.82,15.02
69,Rutgers,Big Ten,,15,17,77,77.6,-0.53,,10.98,,9.6,0.85,10.45,115.75,101.39,14.37
70,Butler,Big East,,14,19,73.8,73.8,0.03,,10.29,,7.17,3.16,10.32,117.21,102.59,14.62
71,Louisiana State,SEC,,14,18,73.8,73.6,0.25,,10.01,,5.1,5.16,10.26,111,96.98,14.02
72,South Carolina,SEC,,12,20,69.8,71.4,-1.66,,11.89,,1.55,8.69,10.23,111.25,96.76,14.5
73,Wake Forest,ACC,,21,11,70.2,68,2.16,,7.75,,1.07,8.83,9.9,108.55,94.37,14.18
74,Nevada,MWC,,17,16,72.3,68.1,4.18,,5.56,,2.35,7.39,9.74,115.17,101.16,14.02
75,Dayton,A-10,,22,10,75.2,70.1,5.13,,4.66,,5.69,3.58,9.27,116.52,102.96,13.56
76,Stanford,ACC,,20,13,73,70.6,2.42,,6.71,,3.27,5.86,9.13,114.02,100.8,13.22
77,Drake,MVC,,30,3,70.1,58.4,11.67,,0.06,,-4.82,13.85,9.03,114.23,98.76,15.48
78,McNeese State,Southland,,27,6,77.2,64,13.21,,-2.35,,2.26,6.62,8.88,114.2,100.77,13.43
